Word,Pronunciation
จำบัง,t͡ɕambaŋ
สายไหม,saːjhajmaʔ
ทันควัน,tʰankʰwan
สุริยะ,surijaʔ
หนวกหู,honwakahuː
การชง,kaːnt͡ɕʰoŋ
ระบบประสาทอิสระ,rabboprasaːtʔisaraʔ
กะรัง,karaŋ
หีบเพลง,hiːbpʰeːloŋ
กระ,kraʔ
สัญญาณ,sajjaːn
เอะอะ,ʔeʔaʔ
สาธารณรัฐโดมินิกัน,saːtʰaːnnaratdoːminikan
พฤษภ,pʰrʉsop
สมัคร,samakʰon
การโทรม,kaːntʰoːrom
ความโกรธเคือง,kʰwaːmkoːrotkʰɯːa̯ŋ
นักดนตรี,nakdanotriː
กะลาสี,kalaːsiː
เซียมตือ,siːa̯mtɯːɔː
อุซเบกิสถาน,ʔutbeːkittʰaːn
สวาดิ,sawaːdiʔ
มิตร,miton
หมุน,hamun
ประมาณ,pramaːn
โสม,soːm
ราย,raːj
พัดลม,pʰatlom
บา,baː
ชาตินิยม,t͡ɕʰaːtinijom
เมิน,mɤn
นีติกรรม,niːtikrarom
วายปราณ,waːjpraːn
ไอเสีย,ʔajsiːa̯
ตะแมะแคระ,tamɛkʰɛːraʔ
อินฟราเรด,ʔinfaraːreːt
โหนก,hoːnok
ฮนชู,hont͡ɕʰuː
ที,tʰiː
ตะคอก,takʰɔːk
ฟันปลอม,fanplɔːm
สมอจีน,samɔːt͡ɕiːn
พรม,pʰrom
พฤษภ,pʰrʉsop
กองมรดก,kɔːŋmaradok
อรุณี,ɔːruniː
กริยา,krijaː
โธวนะ,tʰoːwnaʔ
สมรส,somrot
จอง,t͡ɕɔːŋ
แกมมา,kɛːmmaː
พีชคณิต,pʰiːtkʰanit
พะแนง,pʰanɛːŋ
กระตุก,kratuk
ยาง,jaːŋ
สงครามโลก,soŋkʰraːmloːk
ขาบ,kʰaːb
สัมฤทธิศก,samarʉtʰatʰisok
อาวุธปืน,ʔaːwutpɯːn
รัตนตรัย,ratnotraj
นครวัด,nokrawat
กัลปาวสาน,kanpaːwasaːn
กระทำ,kratʰam
วัวสันหลังหวะ,wuːa̯sanhalaŋhawaʔ
เนปยีดอ,neːpjiːdɔː
โวลเตจ,woːnteːt
ปลาหมอตายเพราะปาก,plaːhmɔːtaːjpʰeːraːapaːk
อัฐิ,ʔatʰiʔ
ขนัด,kʰanat
หมายจำคุก,hamaːjt͡ɕamkʰuk
หนังสือวลี,hanaŋsɯːɔːwliː
นคร,nakʰon
มงคล,moŋkʰon
ผูก,pʰuːk
ชาแดง,t͡ɕʰaːdɛːŋ
สามัญ,saːmaj
อิด,ʔit
นาซี,naːsiː
แรม,rɛːm
นักมวย,nakmawoj
ลิเธียม,litʰiːa̯m
บดี,badiː
คิรี,kʰiriː
เกิด,kɤt
เสียใจ,siːa̯t͡ɕaj
คุง,kʰuŋ
การพยายาม,kaːnpʰajaːjaːm
โยดะยา,joːdajaː
กองหนุน,kɔːŋhanun
ทะลุทะลวง,tʰalutʰanwoŋ
ดินเผา,dinpʰeːaː
วางสาย,waːŋsaːj
ทัศนียภาพ,tʰatniːjapʰaːp
นาคร,naːkʰon
ถือตัว,tʰɯːɔːtuːa̯
ฆาต,kʰaːt
คอโมโรส,kʰɔːmoːroːt
การวิปลาส,kaːnwiplaːt
สถานีอวกาศ,satʰaːniːɔːwkaːt
กษัตร,kasaton
อิด,ʔit
เงา,ŋeːaː
เฉลียวฉลาด,t͡ɕʰeːliːjwat͡ɕʰalaːt
สุขุม,sukʰum
เตลูกู,teːluːkuː
โบราณ,boːraːn
กระเรียน,krariːa̯n
ทองคำขาว,tʰɔːŋkʰamkʰaːw
ผีเจาะปาก,pʰiːt͡ɕɔpaːk
อุตพิด,ʔutpʰit
สมุดบันทึก,samutbanatʰɯk
สี,siː
รังสีแกมมา,raŋsiːkɛːmmaː
บัณฑิต,bantʰit
พยาบาล,pʰajaːbaːn
พนักงานอัยการ,pʰanakŋaːnaʔajkaːn
ฉาย,t͡ɕʰaːj
บัดกรี,batkriː
โรตี,roːtiː
พวก,pʰawok
พฤษภา,pʰrʉsapʰaː
วรางกูร,waraːŋkuːn
แฅว,kʰɛːw
บารมี,baːnmiː
มูลนิธิ,muːnnitʰiʔ
เมเปิล,meːpɤn
เนินทราย,nɤntʰraːj
ขยาด,kʰajaːt
จินตภาพ,t͡ɕintapʰaːp
การเมือง,kaːnmɯːa̯ŋ
ราชา,raːt͡ɕʰaː
ทารุณกรรม,tʰaːrunkrarom
ฟูกูชิมะ,fuːkuːt͡ɕʰimaʔ
บังตา,baŋtaː
อุตสาหะ,ʔutsaːhaʔ
บาทหลวง,baːthalawoŋ
กรรปุระ,konrapuraʔ
ถนอม,tʰanɔːm
รับมือ,rabmɯːɔː
วาทะกรรม,waːtʰakrarom
เตาผิง,teːaːpʰiŋ
บาก,baːk
เปิดโปง,pɤtpoːŋ
อุด,ʔut
ชักโครก,t͡ɕʰakkʰoːrok
กำหนดการ,kamhondakaːn
ลิง,liŋ
รัว,ruːa̯
โมลิบดีนัม,moːlibdiːnam
โลกวัชชะ,loːkwat͡ɕʰat͡ɕʰaʔ
พหุเทวนิยม,pʰahutʰeːwnijom
คราส,kʰraːt
เพชร,pʰeːt͡ɕʰon
วินิจฉัย,winitt͡ɕʰaj
จักรี,t͡ɕakriː
ไนโรบี,najroːbiː
ราตรี,raːtriː
พรรคการเมือง,pʰonrakʰakaːnmɯːa̯ŋ
ละเลย,laleːj
บวร,bawon
มะเขือเทศ,makʰɯːa̯tʰeːt
หมัน,haman
ผัดไทย,pʰattʰaj
ง,ŋaʔ
หยวน,hojwon
ของกลาง,kʰɔːŋklaːŋ
วิสาหกิจ,wisaːhkit
อังคาร,ʔaŋkʰaːn
เยรูซาเลม,jeːruːsaːleːm
ครัวเรือน,kʰruːa̯rɯːa̯n
สวด,sawot
อดีต,ɔːdiːt
ออกแบบ,ʔɔːkbɛːb
อัญชัน,ʔajt͡ɕʰan
การมองบน,kaːnmɔːŋabon
แรงตึงผิว,rɛːŋtɯŋapʰiw
ทิชากร,tʰit͡ɕʰaːkon
พิมเสน,pʰimseːn
ยืน,jɯːn
เฃียน,kʰiːa̯n
ประชัน,prat͡ɕʰan
ตารางวา,taːraːŋwaː
กระดาษทิชชู,kradaːttʰit͡ɕʰat͡ɕʰuː
อิสรภาพ,ʔitrapʰaːp
มีนา,miːnaː
อุปัชฌา,ʔupatt͡ɕʰaː
สังคายนา,saŋkʰaːjanaː
เบลเกรด,beːnkeːrot
อะนาโตลี,ʔanaːtoːliː
แฮฟเนียม,hɛːfniːa̯m
แรเงา,rɛːŋeːaː
รหัส,rahat
นักบินอวกาศ,nakbinɔːwkaːt
คอนญัก,kʰɔːnjak
วันหยุด,wanhajut
ระนาด,ranaːt
อรัณยวาสี,ɔːranjawaːsiː
คาราเมล,kʰaːraːmeːn
พันเอก,pʰanʔeːk
จิปาถะ,t͡ɕipaːtʰaʔ
เราะมะฎอน,rɔmadɔːn
โบก,boːk
แจว,t͡ɕɛːw
การพบ,kaːnpʰob
รัฐวิสาหกิจ,ratwisaːhkit
ประชาธิปไตย,prat͡ɕʰaːtʰiptaj
ออกญา,ʔɔːkjaː
คุณสมบัติ,kʰunsamabatiʔ
กายกรรม,kaːjkrarom
ภารย,pʰaːroj
สังวาส,saŋwaːt
ตาราง,taːraːŋ
โคลน,kʰoːlon
ตรึง,trɯŋ
โศก,soːk
จเร,t͡ɕareː
มัสกัต,matkat
การเสย,kaːnseːj
กระรอกบิน,krarɔːkbin
การโกหก,kaːnkoːhok
ชิงหมาเกิด,t͡ɕʰiŋhamaːkɤt
สิทธิ,sittʰiʔ
มฤตยู,marʉtajuː
สุขา,sukʰaː
ตูวาลู,tuːwaːluː
ว,waʔ
กรกฎา,konkadaː
เพกาซัส,pʰeːkaːsat
มหาสมุทรแอตแลนติก,mahaːtmutʰonʔɛːtalɛːntik
บัลแกเรีย,bankɛːriːa̯
ภริยา,pʰrijaː
กำมะถันแดง,kammatʰandɛːŋ
กงสี,koŋsiː
เซนติเมตร,seːntimeːton
เนิน,nɤn
ฉันใด,t͡ɕʰandaj
เกา,keːaː
เผยอ,pʰeːjɔː
กู,kuː
ยามูซูโกร,jaːmuːsuːkoːn
กุม,kum
เคารพ,kʰeːaːrop
อุปัชฌา,ʔupatt͡ɕʰaː
จุหรุด,t͡ɕuhrut
อัธยาตมวิทยา,ʔatjaːtomwitʰajaː
อินฟาเรด,ʔinfaːreːt
ตองกา,tɔːŋkaː
แปลกใจ,pɛːnkat͡ɕaj
ใบบุญ,bajbuj
หงสาวดี,hoŋsaːwadiː
กระทะใบบัว,kratʰabajbuːa̯
สันดาล,sandaːn
หืด,hɯːt
คอย,kʰɔːj
นักษัตร,naksaton
จนกรอบ,t͡ɕonkrɔːb
หอหนังสือ,hɔːhnaŋasɯːɔː
กิโมโน,kimoːnoː
ปรีชา,priːt͡ɕʰaː
การจำลอง,kaːnt͡ɕamlɔːŋ
บุคคล,bukkʰon
อีสุกอีใส,ʔiːsukʔiːsaj
เรียล,riːa̯n
นกสองหัว,noksɔːŋahuːa̯
บวร,bawon
หมก,hamok
ศารท,saːrot
สยอง,sajɔːŋ
เซาตูเมและปรินซีปี,seːaːtuːmeːlɛprinasiːpiː
แอตแลนติก,ʔɛːtlɛːnatik
เศรษฐินี,seːnsatʰiniː
ใบรับ,bajrab
นักวิชาการ,nakwit͡ɕʰaːkaːn
อัญชลี,ʔajt͡ɕʰaliː
เบรุต,beːrut
ราชมัล,raːtman
การรอด,kaːnrɔːt
ธากา,tʰaːkaː
พืชผัก,pʰɯːtpʰak
การสนทนา,kaːnsanotnaː
ผิวหนัง,pʰiwhanaŋ
กระสุนปืน,krasunpɯːn
จรัส,t͡ɕarat
จรจัด,t͡ɕont͡ɕat
แคปปา,kʰɛːppaː
บรรลุ,bonraluʔ
เลือด,lɯːa̯t
โภค,pʰoːk
กิโยตีน,kijoːtiːn
วิศวกรรม,witwakonrom
อนุมัติ,ɔːnumatiʔ
ราชสมบัติ,raːtsamabatiʔ
กระซิบ,krasib
เรือแจว,rɯːa̯t͡ɕɛːw
หลอดดูด,halɔːtduːt
เจาะ,t͡ɕɔʔ
ปัจฉิม,patt͡ɕʰim
ลูกโลก,luːkloːk
ฝัน,fan
นีออน,niːʔɔːn
ปากกาหมึกซึม,paːkkaːhamɯksɯm
กุฎุมพี,kudumpʰiː
ชิลลา,t͡ɕʰinlaː
แรคคูน,rɛːkkʰuːn
พละ,pʰlaʔ
เปลือกโลก,peːlɯːɔːkloːk
นามสกุล,naːmsakun
ทลาย,tʰalaːj
หา,haː
โครยอ,kʰoːnjɔː
กิจกรรม,kitkrarom
วิบาก,wibaːk
สุก,suk
อลูมิเนียม,ɔːluːminiːa̯m
ยอมรับ,jɔːmrab
ความผูกพัน,kʰwaːmpʰuːkapʰan
ลพบูรี,lopbuːriː
แจกแจง,t͡ɕɛːkt͡ɕɛːŋ
ความเสียโฉม,kʰwaːmsiːa̯t͡ɕʰoːm
การอวสาน,kaːrɔːwsaːn
ปัทมา,patmaː
คำราม,kʰamraːm
ราศี,raːsiː
หาม,haːm
แอลเบเนีย,ʔɛːnbeːniːa̯
รสายนเวท,rasaːjnaweːt
ภาส,pʰaːt
บอตสวานา,bɔːtsawaːnaː
ธูปฤๅษี,tʰuːprʉːsiː
ทาน,tʰaːn
บาด,baːt
โบฮีเมีย,boːhiːmiːa̯
ซัก,sak
หวุดหวิด,hawuthawit
กัญชา,kajt͡ɕʰaː
เหลน,heːlon
อุปนิสัย,ʔupnisaj
มัชชาระ,matt͡ɕʰaːraʔ
มายา,maːjaː
ลมพิษ,lompʰit
ปฏิทิน,patitʰin
พสก,pʰasok
ลำเลียง,lamliːa̯ŋ
ละครทีวี,lakratʰiːwiː
ถุงมือ,tʰuŋmɯːɔː
ความ,kʰwaːm
แสบ,sɛːb
การประชุม,kaːnprat͡ɕʰum
เสริมสวย,seːrimsawoj
บริเตน,bariteːn
แอ,ʔɛː
กลไก,konkaj
โผ,pʰoː
คลาย,kʰlaːj
กระวนกระวาย,krawnokrawaːj
บังคม,baŋkʰom
กาญจนาภิเษก,kaːjt͡ɕanaːpʰiseːk
ภาค,pʰaːk
วิตกกังวล,witkakaŋwon
วงวาร,woŋwaːn
เสือปลา,sɯːa̯plaː
ชะรอย,t͡ɕʰarɔːj
วิหค,wihok
บัลแกเรีย,bankɛːriːa̯
เอกเทวนิยม,ʔeːktʰeːwanijom
สุริยคราส,surijkʰraːt
รุม,rum
สภาพอากาศ,sapʰaːpʔaːkaːt
สมมุติ,sommutiʔ
ใชย,t͡ɕʰajjaʔ
ฟัก,fak
โมะ,moʔ
อนาธิปไตย,ɔːnaːtʰiptaj
ฟุต,fut
นาวา,naːwaː
ปุนัพสุ,punapsuʔ
จิตกาธาน,t͡ɕitkaːtʰaːn
หางเสือเรือ,haːŋsɯːa̯rɯːa̯
จักษุวิทยา,t͡ɕaksuwitjaː
เมษบาล,meːtbaːn
สมิง,samiŋ
โหม,hoːm
วิทยาการลำดับเวลา,witjaːkaːnlamdabweːlaː
กิริยา,kirijaː
บัญชีหนังหมา,bajt͡ɕʰiːhanaŋhamaː
พรำ,pʰram
หนังสือเดินทาง,hanaŋsɯːɔːdɤntʰaːŋ
ฤณ,rʉnaʔ
ถวาย,tʰawaːj
เชิงเทิน,t͡ɕʰɤŋtʰɤn
ระทึก,ratʰɯk
ลอก,lɔːk
การพนม,kaːnpʰanom
ยูเรเชีย,juːreːt͡ɕʰiːa̯
เทศ,tʰeːt
ลัทธินายทุน,lattʰinaːjtʰun
สลาฟ,salaːf
ประชานิยม,prat͡ɕʰaːnijom
โขลง,kʰoːloŋ
บุคคล,bukkʰon
การเสก,kaːnseːk
ชม,t͡ɕʰom
เรือนจำ,rɯːa̯nt͡ɕam
บุรุษ,burut
ดวล,dawon
กุน,kun
ฟาง,faːŋ
สาธารณะ,saːtʰaːnnaʔ
กฎจราจร,kott͡ɕaraːt͡ɕon
นามิเบีย,naːmibiːa̯
รับผิดชอบ,rabpʰidat͡ɕʰɔːb
จาระบี,t͡ɕaːrabiː
ฎีกา,diːkaː
ถึก,tʰɯk
ละเลง,laleːŋ
แรด,rɛːt
ความขม,kʰwaːmkʰom
สกลนคร,soklanakʰon
ขุนนาง,kʰunnaːŋ
ตำลึง,tamlɯŋ
ลวด,lawot
ชลประทาน,t͡ɕʰonpratʰaːn
อนิจกรรม,ɔːnitkrarom
มุด,mut
วิเชียรมาศ,wit͡ɕʰiːa̯nmaːt
โบราณคดี,boːraːnkʰadiː
การละเมิดอำนาจศาล,kaːnlamɤdɔːamnaːtsaːn
แคนตาลูป,kʰɛːntaːluːp
สากลศักราช,saːklasakraːt
นาน,naːn
ขาล,kʰaːn
บูรี,buːriː
หวานใจ,hawaːnt͡ɕaj
หอระฆัง,hɔːrakʰaŋ
ลูกอม,luːkɔːm
ปัง,paŋ
ดีงาม,diːŋaːm
ยัญ,jaj
นฤพาน,narʉpʰaːn
กากรุน,kaːkrun
คนกรุง,kʰonkruŋ
สิทธัตถะ,sittʰatatʰaʔ
ทะลาย,tʰalaːj
ปัจฉบท,patt͡ɕʰabot
ทองเหลือง,tʰɔːŋheːlɯːɔːŋ
ความหลากหลาย,kʰwaːmhalaːkhalaːj
นรธา,nontʰaː
ภาย,pʰaːj
อิวาเตะ,ʔiwaːteʔ
ฟาดงวงฟาดงา,faːtŋawoŋfaːdaŋaː
วิปโยค,wipjoːk
ฟักทอง,faktʰɔːŋ
มุมฉาก,mumt͡ɕʰaːk
มัจฉา,matt͡ɕʰaː
แฮป,hɛːp
ผลิ,pʰliʔ
เอฮิเมะ,ʔeːhimeʔ
มาด,maːt
งำ,ŋam
วิศวกร,witwakon
นักเลงสุรา,nakleːŋasuraː
ยะลา,jalaː
โท,tʰoː
การแจง,kaːnt͡ɕɛːŋ
ยาวนาน,jaːwnaːn
ประโยค,prajoːk
เอช,ʔeːt
กุมาร,kumaːn
ตา,taː
นำพา,nampʰaː
คูถ,kʰuːt
โพ,pʰoː
ราพันเซล,raːpʰanseːn
นักมายากล,nakmaːjaːkon
เปลว,peːlow
สุดวิสัย,sutwisaj
ฆตต,kʰatot
ทับทาง,tʰabtʰaːŋ
อาณาจักร,ʔaːnaːt͡ɕakon
อาณัติ,ʔaːnatiʔ
หมีขาว,hamiːkʰaːw
เปล,peːn
เอาเปรียบ,ʔeːaːpeːriːjob
เมือง,mɯːa̯ŋ
นัยนา,najnaː
ตะลึง,talɯŋ
อายัติ,ʔaːjatiʔ
คอลลาเจน,kʰɔːnlaːt͡ɕeːn
ยุทธ,jutʰot
ความผาสุก,kʰwaːmpʰaːsuk
แฉะ,t͡ɕʰɛʔ
แดง,dɛːŋ
เรียบ,riːa̯b
หมัดตรง,hamattroŋ
หินโคลน,hinkʰoːlon
กรด,krot
ยังคง,jaŋkʰoŋ
ประโยคความรวม,prajoːkkʰwaːmrawom
นิยาย,nijaːj
อวตาร,ɔːwtaːn
จักรพรรดินี,t͡ɕakrapʰonradiniː
หินงอก,hinŋɔːk
หมาวัด,hamaːwat
ผลัด,pʰlat
อกตัญญู,ɔːktajajuː
หินแลง,hinlɛːŋ
ถอนใจ,tʰɔːnt͡ɕaj
ญวน,jawon
สายการบิน,saːjkaːrabin
กรณีพิพาท,konniːpʰipʰaːt
พิราลัย,pʰiraːlaj
ดาด,daːt
ณครรลำภาง,nokraralampʰaːŋ
ทาน,tʰaːn
เอก,ʔeːk
วี,wiː
กรณีพิพาท,konniːpʰipʰaːt
ปลัดขิก,platkʰik
หลวง,honwoŋ
อัลไต,ʔantaj
อริยสัจ,ɔːrijsat
มาเลศ,maːleːt
สับ,sab
มณฑป,montʰop
กระโถน,kratʰoːn
ขอยาด,kʰɔːjaːt
ปรานีฆาต,praːniːkʰaːt
อับปาง,ʔabpaːŋ
แอลฟา,ʔɛːnfaː
สุริยุปราคา,surijupraːkʰaː
ตะวัน,tawan
อภิธรรม,ɔːpʰitrarom
ศตวรรษ,sotwararot
จุล,t͡ɕun
เทพบุตร,tʰeːpbuton
ประถม,pratʰom
ตัวนำ,tuːa̯nam
เกรงใจ,keːnŋat͡ɕaj
ไกล,kajlaʔ
สารพัด,saːnpʰat
มัก,mak
พันธนาคาร,pʰantʰanaːkʰaːn
สลอธ,salɔːt
ลูกคิด,luːkkʰit
ซีกโลก,siːkloːk
ครัว,kʰruːa̯
ราม,raːm
วาร,waːn
สมมติฐาน,sommatitʰaːn
ฟักเหลือง,fakheːlɯːɔːŋ
จะ,t͡ɕaʔ
โดมิโน,doːminoː
จัก,t͡ɕak
สำทับ,samtʰab
ดับบลิว,dabbaliw
อภิชนาธิปไตย,ɔːpʰitnaːtʰiptaj
สระอะ,saraʔaʔ
ธันวาคม,tʰanwaːkʰom
ปัจจุบัน,patt͡ɕuban
เยือน,jɯːa̯n
ญิฮาด,jihaːt
รัชทายาท,rattʰaːjaːt
สหภาพยุโรป,sohpʰaːpʰajuroːp
บุญ,buj
รุก,ruk
การเลิก,kaːnlɤk
ทุเรศ,tʰureːt
ชีวิต,t͡ɕʰiːwit
ซาก,saːk
วิชญ,wit͡ɕʰoj
สกรรมกริยา,sokraromkrijaː
กลีบดอก,kliːbdɔːk
การถวาย,kaːntʰawaːj
สลาก,salaːk
ธันวา,tʰanwaː
ประเทศจำลอง,pratʰeːtt͡ɕamlɔːŋ
ชลธี,t͡ɕʰontʰiː
รุด,rut
คณะประสานเสียง,kʰanaprasaːnsiːa̯ŋ
อไญยนิยม,ɔːjajnijom
สังเวียน,saŋwiːa̯n
สังคมนิยม,saŋkʰamanijom
อนุญาโตตุลาการ,ɔːnujaːtoːtulaːkaːn
เถร,tʰeːn
สม,som
ขากรรไกร,kʰaːkrarakajraʔ
เลสเบียน,leːtbiːa̯n
เดท,deːt
เมตร,meːton
ทาส,tʰaːt
นักปฏิวัติ,nakpatiwatiʔ
เพลา,pʰeːlaː
เหรอ,heːrɔː
ฝ,faʔ
ลาปาซ,laːpaːt
สอน,sɔːn
กางเขน,kaːŋkʰeːn
กรรมวาจก,konramawaːt͡ɕok
พัฟฟิน,pʰaffin
สวามี,sawaːmiː
ลูกซัด,luːksat
หารือ,haːrɯːɔː
สมาชิกวุฒิสภา,samaːt͡ɕʰikwutʰitpʰaː
กวัก,kwak
ผคม,pʰakʰom
คีตะ,kʰiːtaʔ
แกโซลีน,kɛːsoːliːn
คีต,kʰiːt
ปูม,puːm
เดียรัจฉาน,diːa̯ratt͡ɕʰaːn
เวียนนา,wiːa̯nnaː
ระบบอัตโนมัติ,rabbaʔatnoːmatiʔ
จาร,t͡ɕaːn
ผลกระทบ,pʰonkratʰob
รสชาติ,rott͡ɕʰaːtiʔ
ลางสาด,laːŋsaːt
หงอน,haŋɔːn
โต,toː
หายใจออก,haːjt͡ɕajʔɔːk
นักเรียน,nakriːa̯n
ชักใย,t͡ɕʰakjaj
จม,t͡ɕom
กุศล,kuson
พิลิปดา,pʰilipdaː
การคอย,kaːnkʰɔːj
ประกอบ,prakɔːb
โอซากะ,ʔoːsaːkaʔ
บรรพบุรุษ,bonrapʰaburut
ขวา,kʰwaː
มะแม,mamɛː
ราชาธิปไตย,raːt͡ɕʰaːtʰiptaj
ฝัด,fat
กรรมาชีพ,konramaːt͡ɕʰiːp
คดี,kʰadiː
แทสเมเนียนเดวิล,tʰɛːtmeːniːa̯ndeːwin
ทำมาหากิน,tʰammaːhaːkin
เลียน,liːa̯n
แลบ,lɛːb
การรัก,kaːnrak
เบญจเพส,beːjt͡ɕapʰeːt
ลิขิต,likʰit
บังคับบัญชา,baŋkʰababajt͡ɕʰaː
ยักษิณี,jaksiniː
นัดหยุดงาน,nathajutŋaːn
ไตร,tajraʔ
ไตรปิฎก,tajrapidok
วิกฤต,wikrʉtaʔ
แขกดำ,kʰɛːkdam
กาบอง,kaːbɔːŋ
การกำกับ,kaːnkamkab
ชิน,t͡ɕʰin
ปรนนิบัติ,ponnanibatiʔ
กิโลเมตร,kiloːmeːton
การเจริญ,kaːnt͡ɕeːrij
โอชา,ʔoːt͡ɕʰaː
อะตอม,ʔatɔːm
นักรบ,nakrob
ระยะ,rajaʔ
โบรมีน,boːnmiːn
วิชา,wit͡ɕʰaː
สตอ,satɔː
หัวหิน,huːa̯hin
ทะเลาะ,tʰalɔʔ
กระดูกงู,kraduːkŋuː
การดูแล,kaːnduːlɛː
การผงะ,kaːnpʰaŋaʔ
บรรเทา,bonratʰeːaː
นิรุกติ,niruktiʔ
อวกาศ,ɔːwkaːt
ไทย,tʰaj
พาน,pʰaːn
ตาสีตาสา,taːsiːtaːsaː
อาสาสมัคร,ʔaːsaːtmakʰon
ยาสระผม,jaːtrapʰom
คำ,kʰam
กรง,kroŋ
อารูบา,ʔaːruːbaː
ตามใจ,taːmt͡ɕaj
เหรา,heːraː
ยุโรปตะวันออก,juroːptawanʔɔːk
ขยะ,kʰajaʔ
การเคารพ,kaːnkʰeːaːrop
เดิน,dɤn
ตรีนิศก,triːnisok
กาญจน,kaːjt͡ɕon
อลูมิเนียม,ɔːluːminiːa̯m
กองบัญชาการ,kɔːŋbajat͡ɕʰaːkaːn
ซีเรียม,siːriːa̯m
มาซิโดเนียเหนือ,maːsidoːniːa̯heːnɯːɔː
ตู,tuː
กฤตยฎีกา,krʉtojdiːkaː
อินโดนีเซีย,ʔindoːniːsiːa̯
ปากใบ,paːkbaj
มโหรี,mahoːriː
สกี,sakiː
กิมจิ,kimt͡ɕiʔ
ฟักเขียว,fakkʰiːa̯w
มิจฉาทิฐิ,mitt͡ɕʰaːtʰitʰiʔ
กรกฎ,konkot
กระสะ,krasaʔ
มีใจ,miːt͡ɕaj
การแสดง,kaːnsɛːdoŋ
โอเดสซา,ʔoːdeːtsaː
คอซอวอ,kʰɔːsɔːwɔː
เบนิน,beːnin
โซเฟีย,soːfiːa̯
โรคศิลปะ,roːksilapaʔ
แอฟริกาเหนือ,ʔɛːfrikaːheːnɯːɔː
แอล,ʔɛːn
อักษรวิจิตร,ʔaksarawit͡ɕiton
เสียเปรียบ,siːa̯peːriːjob
จำนวนจริง,t͡ɕamnownat͡ɕariŋ
ฉุกเฉิน,t͡ɕʰukt͡ɕʰɤn
หอยสองฝา,hɔːjsɔːŋafaː
เวคิน,weːkʰin
รถถัง,rottʰaŋ
กันชน,kant͡ɕʰon
ธรรมกถา,tʰonramoktʰaː
นารทะ,naːntʰaʔ
แพลทินัม,pʰɛːntʰinam
โทษะ,tʰoːsaʔ
การละอาย,kaːnlaʔaːj
เพนกวิน,pʰeːnkwin
พบ,pʰob
บาดแผล,baːtpʰɛːn
เพียง,pʰiːa̯ŋ
ปากคำ,paːkkʰam
กระสาบ,krasaːb
เอกชน,ʔeːkt͡ɕʰon
อุตรผลคุนี,ʔutrapʰonkʰuniː
แพรประดับ,pʰɛːnpradab
โยคะ,joːkʰaʔ
หัวเทียน,huːa̯tʰiːa̯n
เตียงหัก,tiːa̯ŋhak
ฮองเฮา,hɔːŋheːaː
ฮากกา,haːkkaː
แรงดึงดูด,rɛːŋdɯŋaduːt
สังขาร,saŋkʰaːn
มหาดไทย,mahaːttʰaj
ฉายา,t͡ɕʰaːjaː
เลน,leːn
อี,ʔiː
สำ,sam
ตูวา,tuːwaː
ตุน,tun
การ,kaːn
หลงตัวเอง,honŋatuːa̯ʔeːŋ
มาเอบาชิ,maːʔeːbaːt͡ɕʰiʔ
กสิกรรม,kasikrarom
สวิส,sawit
ภรรยา,pʰonrajaː
ฦๅชา,ฦːt͡ɕʰaː
ไลลัก,lajlak
ร,raʔ
บุณฑริก,buntʰrik
แรงลอยตัว,rɛːŋlɔːjatuːa̯
ตะไบ,tabaj
มีดพับสวิส,miːtpʰabotwit
เกลือจืด,keːlɯːɔːt͡ɕɯːt
บุรุนดี,burundiː
บงการ,boŋkaːn
บาทวิถี,baːtwitʰiː
หูฉลาม,huːtlaːm
ชัย,t͡ɕʰaj
คอจีน,kʰɔːt͡ɕiːn
ของไหล,kʰɔːŋhajlaʔ
ย,jaʔ
สัตยาบัน,satjaːban
นาซี,naːsiː
สลัม,salam
การนัดหยุดงาน,kaːnnadohjudaŋaːn
มกร,makon
บังอาจ,baŋʔaːt
ราชญี,raːtjiː
คณะตุลาการ,kʰanatulaːkaːn
พณิช,pʰanit
ลูกเขย,luːkkʰeːj
คืนหมาหอน,kʰɯːnhamaːhɔːn
วิษุวัต,wisuwat
อาด,ʔaːt
กิเลน,kileːn
สุวรรณ,suwraron
ซะ,saʔ
ปลอบใจ,plɔːbt͡ɕaj
อาชญา,ʔaːtjaː
อาน,ʔaːn
ไฟ,faj
มัชฌิมเลขคณิต,matt͡ɕʰimaleːkkʰanit
นิตยสาร,nitjasaːn
ทุติ,tʰutiʔ
พีพี,pʰiːpʰiː
เวรัมภา,weːrampʰaː
การประพฤติ,kaːnprapʰrʉtiʔ
แพลเลเดียม,pʰɛːnleːdiːa̯m
ถถถ,tʰatʰot
สมาธิ,samaːtʰiʔ
วานร,waːnon
ทุจริต,tʰutrit
ยูโด,juːdoː
ลักษณะ,laksanaʔ
คุชราต,kʰutraːt
กลับลำ,klablam
จิบ,t͡ɕib
ขืนใจ,kʰɯːnt͡ɕaj
เอสเปรสโซ,ʔeːtpeːrotsoː
เอสวาตีนี,ʔeːtwaːtiːniː
ตถาคต,tatʰaːkʰot
ป,paʔ
ฟก,fok
ประมวลกฎหมาย,pramwalokdahamaːj
ตอง,tɔːŋ
เอกอัครราชทูต,ʔeːkʔakʰonraːt͡ɕʰatʰuːt
ภูมิลำเนา,pʰuːmilamneːaː
ตด,tot
งบ,ŋob
มารีเอล,maːriːʔeːn
อัมมาน,ʔammaːn
กฤษณา,krʉsanaː
ปฐมพยาบาล,potmapʰajaːbaːn
