Word,Pronunciation
นิยมสรรพนาม,nijmasonrapʰanaːm
งอม,ŋɔːm
ฎ,daʔ
ฉทวาร,t͡ɕʰotwaːn
ลาม,laːm
คริสตสมภพ,kʰrittasompʰop
อมก,ɔːmok
หยิก,hajik
รำบาญ,rambaːj
หนู,hanuː
ตะเกียง,takiːa̯ŋ
หลงผิด,honŋapʰit
นัดหมาย,nathamaːj
จังหวัด,t͡ɕaŋhawat
โบราณสถาน,boːraːnsatʰaːn
เมธังกร,meːtʰaŋkon
สุวรรณ,suwraron
หริภุญชัย,haripʰujt͡ɕʰaj
หรีด,hariːt
วันตรุษไทย,wantruttʰaj
วิปัสสนา,wipatsanaː
เอางาน,ʔeːaːŋaːn
ความสับสน,kʰwaːmsabason
การโอน,kaːnʔoːn
ทำนองเสียง,tʰamnɔːŋsiːa̯ŋ
ศุภชัย,supt͡ɕʰaj
จางวาง,t͡ɕaːŋwaːŋ
หนุมาน,hanumaːn
ฑูต,tʰuːt
พิง,pʰiŋ
ลับแล,lablɛː
แตะ,tɛʔ
ถือ,tʰɯːɔː
คริสตจักร,kʰrittat͡ɕakon
พึมพำ,pʰɯmpʰam
อากิตะ,ʔaːkitaʔ
ยางมะตอย,jaːŋmatɔːj
แจม,t͡ɕɛːm
สารภาพ,saːnpʰaːp
รอ,rɔː
อะเลปโป,ʔaleːppoː
มิติ,mitiʔ
ใจแคบ,t͡ɕajkʰɛːb
ทาก,tʰaːk
สวัสดิการ,sawatdikaːn
สนธิ,sontʰiʔ
บัณฑิตย,bantʰitoj
เพลิด,pʰeːlit
แฟนเพจ,fɛːnpʰeːt
การวิจัย,kaːnwit͡ɕaj
สกัด,sakat
หิมาลัย,himaːlaj
ปฏิกิริยา,patikirijaː
มหาเถร,mahaːtʰeːn
อามิส,ʔaːmit
ทุระยศ,tʰurajot
หมาง,hamaːŋ
รอคอย,rɔːkʰɔːj
ปรือ,prɯːɔː
ผี,pʰiː
กระดานดำ,kradaːndam
ตลาด,talaːt
กิริณี,kiriniː
ทรุด,tʰrut
กาสิโน,kaːsinoː
ประการ,prakaːn
มุก,muk
หายนะ,haːjnaʔ
คลาด,kʰlaːt
ถลอก,tʰalɔːk
นามปากกา,naːmpaːkakaː
ริพับลิกัน,ripʰablikan
วุฒิสภา,wutʰitpʰaː
คฤห,kʰrʉhaʔ
กระดานไฟ,kradaːnfaj
ซับ,sab
ลอย,lɔːj
ชาติ,t͡ɕʰaːtiʔ
ปรมินทร,ponminatʰon
วรรณ,wonron
โอรส,ʔoːrot
โนเบเลียม,noːbeːliːa̯m
นานาจิตตัง,naːnaːt͡ɕittaŋ
มะพูด,mapʰuːt
จักษุ,t͡ɕaksuʔ
ปึก,pɯk
นาฬิกาปลุก,naːlikaːpluk
อาชา,ʔaːt͡ɕʰaː
กระดาษเงินกระดาษทอง,kradaːtŋɤnokradaːttʰɔːŋ
ทำนูล,tʰamnuːn
เอะใจ,ʔet͡ɕaj
อิฉัน,ʔit͡ɕʰan
ธุระ,tʰuraʔ
ตะแคง,takʰɛːŋ
ตาทวด,taːtwot
หลาบ,halaːb
ซิ,siʔ
โควิท,kʰoːwit
หลาน,halaːn
การสืบทอด,kaːnsɯːbatʰɔːt
รูปแบบ,ruːpbɛːb
ทด,tʰot
พี,pʰiː
ปัจจัย,patt͡ɕaj
กษีระ,kasiːraʔ
ปลวก,ponwok
เทวะ,tʰeːwaʔ
สายพาน,saːjpʰaːn
ยกทรง,joktʰroŋ
เรารักในหลวง,reːaːraknajhonwoŋ
คราด,kʰraːt
ปือ,pɯːɔː
ทรงตัว,tʰonŋatuːa̯
บรรทุก,bonratʰuk
ปทุม,patʰum
เลาะ,lɔʔ
สำรับ,samrab
สองแถว,sɔːŋtʰɛːw
ฝา,faː
สโลธ,saloːt
อาวัล,ʔaːwan
คลอด,kʰlɔːt
พะเยา,pʰajeːaː
ธ,tʰaʔ
ไรเฟิล,rajfɤn
โศผะ,soːpʰaʔ
คารม,kʰaːrom
อิริเดียม,ʔiridiːa̯m
ถอน,tʰɔːn
อกรรมกริยา,ɔːkraromkrijaː
ขัด,kʰat
แมนนาที,mɛːnnaːtʰiː
แหกคอก,hɛːkkʰɔːk
กลูโคส,kluːkʰoːt
สหราชอาณาจักร,sohraːt͡ɕʰaʔaːnaːt͡ɕakon
ฤาษี,rʉaːsiː
สดุดี,sadudiː
สิบหก,sibhok
เพศรวม,pʰeːtrawom
มฤค,marʉkʰaʔ
